매출일자,품명,수량
20030926,아침식사,46.06498195
20030926,점심식사,49.74729242
20030926,저녁식사,15.09025271
20030927,아침식사,41.66064982
20030927,점심식사,28.44765343
20030927,저녁식사,17.25631769
20030928,아침식사,40.28880866
20030928,점심식사,25.27075812
20030928,저녁식사,17.32851986
20030929,아침식사,43.46570397
20030929,점심식사,50.32490975
20030929,저녁식사,24.83754513
20030930,아침식사,45.99277978
20030930,점심식사,48.80866426
20030930,저녁식사,23.68231047
20031001,아침식사,48.01444043
20031001,점심식사,46.71480144
20031001,저녁식사,21.94945848
20031002,아침식사,45.41516245
20031002,점심식사,48.01444043
20031002,저녁식사,16.82310469
20031003,아침식사,39.566787
20031003,점심식사,25.19855596
20031003,저녁식사,19.63898917
20031004,아침식사,40.28880866
20031004,점심식사,28.5198556
20031004,저녁식사,15.5234657
20031005,아침식사,38.62815884
20031005,점심식사,21.73285199
20031005,저녁식사,18.19494585
20031006,아침식사,46.85920578
20031006,점심식사,52.3465704
20031006,저녁식사,24.40433213
20031007,아침식사,44.69314079
20031007,점심식사,56.67870036
20031007,저녁식사,20.64981949
20031008,아침식사,45.12635379
20031008,점심식사,50.83032491
20031008,저녁식사,24.76534296
20031009,아침식사,43.8267148
20031009,점심식사,50.97472924
20031009,저녁식사,24.62093863
20031010,아침식사,44.40433213
20031010,점심식사,52.92418773
20031010,저녁식사,19.42238267
20031011,아침식사,43.68231047
20031011,점심식사,30.46931408
20031011,저녁식사,17.40072202
20031012,아침식사,41.01083032
20031012,점심식사,21.94945848
20031012,저녁식사,19.49458484
20031013,아침식사,39.85559567
20031013,점심식사,52.20216606
20031013,저녁식사,23.8267148
20031014,아침식사,44.90974729
20031014,점심식사,51.9133574
20031014,저녁식사,25.27075812
20031015,아침식사,43.53790614
20031015,점심식사,52.27436823
20031015,저녁식사,21.22743682
20031016,아침식사,46.20938628
20031016,점심식사,46.57039711
20031016,저녁식사,24.62093863
20031017,아침식사,46.64259928
20031017,점심식사,46.06498195
20031017,저녁식사,18.91696751
20031018,아침식사,41.15523466
20031018,점심식사,31.98555957
20031018,저녁식사,15.81227437
20031019,아침식사,41.51624549
20031019,점심식사,23.8267148
20031019,저녁식사,18.19494585
